tool,sso_unlocks_at_tier,tier_cost_2026,sso_tier_2023
Twenty CRM,Pro,$9/seat-mo,not offered (2023)
Infisical,Pro,$18/identity-mo,Pro ($14/dev)
Cal.com,Organizations,$28/seat-mo,Teams ($12/seat)
Chatwoot,Enterprise,$99/agent-mo,Enterprise ($99/agent)
PostHog,Boost add-on,$250/mo,Paid (no fixed price)
Langfuse,Enterprise,$499/mo,n/a
Temporal,Enterprise,$500/mo,add-on (price n/a)
Metabase,Pro,$575/mo base,Pro ($500/mo)
Appsmith,Enterprise,"$2,500/mo (100 users)",Business
Grafana,Enterprise,"$25,000/year commit",not shown
Windmill,Enterprise,~$120+/mo,Enterprise (from $440/mo)
